"MacroTrends Data Download"
"CTRM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-07-18,40.8800,41.9000,40.7000,41.1000,3655
2019-07-19,40.4000,41.5000,40.4000,41.1000,1805
2019-07-22,40.4380,42.5000,40.1000,41.9000,9377
2019-07-23,41.9000,42.9990,41.0000,41.5930,6703
2019-07-24,41.3000,42.9000,40.5600,41.5000,1931
2019-07-25,41.0000,41.7000,40.5000,40.5000,2122
2019-07-26,41.0000,41.4990,40.4000,40.5000,1464
2019-07-29,43.0000,49.9000,36.0000,38.1460,44020
2019-07-30,36.6000,36.9000,31.0000,32.7000,7637
2019-07-31,31.4000,34.3000,31.4000,31.4000,3670
2019-08-01,32.4000,32.4000,28.6000,31.0000,5622
2019-08-02,29.5000,30.6000,28.5230,29.6580,2307
2019-08-05,29.0000,29.9000,26.5000,28.8000,5446
2019-08-06,29.0000,29.5000,27.1020,27.9010,2271
2019-08-07,28.1000,29.0000,27.2000,28.5000,1471
2019-08-08,28.8300,33.7000,28.6990,32.1010,7333
2019-08-09,30.0000,32.2480,28.5000,28.8000,4311
2019-08-12,28.8000,29.9000,28.8000,29.3000,1157
2019-08-13,30.1000,30.1000,25.3000,28.9990,3481
2019-08-14,28.4250,29.7990,25.9520,27.0000,1574
2019-08-15,27.5000,28.0650,25.3010,26.6520,916
2019-08-16,25.6000,27.8000,25.5000,27.4500,597
2019-08-19,30.2000,33.4000,27.6000,29.7000,6667
2019-08-20,28.7000,29.2000,27.6360,28.8000,1405
2019-08-21,28.2010,30.4000,28.2010,30.0000,4111
2019-08-22,28.8880,32.7000,28.8880,31.4000,10356
2019-08-23,30.3000,32.0000,28.4000,29.5000,3241
2019-08-26,29.2000,31.8000,28.2000,29.4000,4696
2019-08-27,28.6010,29.9000,28.4000,29.0000,717
2019-08-28,27.5010,33.4000,27.5010,31.5000,13978
2019-08-29,28.4010,31.6000,28.4000,30.5570,1057
2019-08-30,30.9070,33.3000,30.9070,31.4000,4144
2019-09-03,29.5750,31.9000,29.5500,30.0000,3491
2019-09-04,31.2000,32.1990,30.0000,31.3000,6206
2019-09-05,42.4000,52.8000,29.5000,30.6000,814017
2019-09-06,28.6000,32.0000,24.6000,27.4000,97114
2019-09-09,27.1000,29.4000,25.2500,28.0000,44311
2019-09-10,27.4000,28.4000,26.5000,28.0000,16190
2019-09-11,27.7000,28.4000,26.8660,27.4000,27945
2019-09-12,27.0000,27.9000,27.0000,27.3310,11800
2019-09-13,27.9000,28.0000,27.0000,27.7000,9104
2019-09-16,28.5000,30.7000,27.8000,27.9010,46051
2019-09-17,28.2000,28.6990,27.0000,27.7000,7287
2019-09-18,27.2000,28.0000,27.2000,27.7000,8045
2019-09-19,27.6000,28.4000,27.2000,27.3980,7813
2019-09-20,27.1000,27.5000,26.8500,27.4000,6691
2019-09-23,27.4000,28.8000,27.1000,28.3010,13458
2019-09-24,28.9000,29.0000,27.2000,27.3000,16685
2019-09-25,27.1000,29.2000,27.0000,27.8000,14456
2019-09-26,28.2000,28.4990,27.3000,27.6000,6682
2019-09-27,27.8000,28.7000,27.7000,28.4000,20133
2019-09-30,28.3000,29.4990,27.5000,28.9000,13595
2019-10-01,29.1000,30.5000,28.7000,29.0000,23349
2019-10-02,29.2000,30.7000,29.0000,29.2000,13973
2019-10-03,29.3000,31.0000,29.3000,30.1000,13688
2019-10-04,30.4000,32.0000,29.6000,31.2000,18945
2019-10-07,32.3000,33.2860,31.1010,31.2000,19395
2019-10-08,31.2000,31.9000,30.5000,31.0000,15314
2019-10-09,30.9000,33.4000,30.1000,32.2000,23848
2019-10-10,32.7000,34.4000,31.5010,32.2550,27354
2019-10-11,32.6000,33.7000,31.5530,32.5000,19025
2019-10-14,34.0000,37.2000,32.6000,37.1990,54925
2019-10-15,35.9000,36.8990,33.2010,34.4010,26572
2019-10-16,34.0000,35.6000,32.0000,33.6000,36983
2019-10-17,40.0000,42.2000,33.2010,38.4000,324102
2019-10-18,36.0000,38.0000,34.8000,36.5000,52732
2019-10-21,36.5000,37.1880,35.1000,35.5000,27174
2019-10-22,34.6000,35.4000,32.0000,33.3000,22468
2019-10-23,33.8000,38.3860,33.5010,36.3000,65017
2019-10-24,36.3000,36.8000,33.7000,34.6000,24936
2019-10-25,35.2000,37.7000,34.1000,36.5000,22673
2019-10-28,37.4000,40.1990,37.2000,38.7000,36887
2019-10-29,39.9000,40.4250,37.6160,39.2000,32207
2019-10-30,39.0000,39.0000,37.0000,37.7000,15367
2019-10-31,37.1000,40.1000,35.1000,39.4000,28124
2019-11-01,39.1000,40.9000,38.5500,38.8000,19680
2019-11-04,38.3000,40.2000,38.2000,38.3010,14393
2019-11-05,37.0000,38.2990,32.8000,34.0000,30941
2019-11-06,34.0000,34.9000,27.9000,32.7000,33692
2019-11-07,30.5000,31.5000,24.1000,26.5000,62516
2019-11-08,26.6000,28.5000,26.5000,26.7000,21895
2019-11-11,26.3000,26.5000,23.3990,24.7000,24312
2019-11-12,24.6000,25.9000,23.0000,24.4000,14013
